"","platform_action","group","mode","end_user_allowed"
"1","Account Created","Account Created","","TRUE"
"2","Added Champion Analytics Widget","","Champion.Others","FALSE"
"3","Added Champion Assessment Analytics Widget","","Champion.Others","FALSE"
"4","Added Champion Cohort Overview Widget","","Champion.Others","FALSE"
"5","Added Champion Program Analytics Widget","","Champion.Others","FALSE"
"6","Added To-Do Item from Content","Used to-do list","Invest.for.Self.Us","TRUE"
"7","Added User Program Progress Widget","Added Widget","Invest.for.Self.Us","TRUE"
"8","Added User Space Widget","Added Widget","Invest.for.Self.Us","TRUE"
"9","Answered Assessment Item","Answered Assessment Item","Receive.Value","TRUE"
"10","Assigned To-Do Item","Used to-do list","Champion.Others","TRUE"
"11","Became Champion Member","","Champion.Others","FALSE"
"12","Champion Membership Invitation Accepted","Connected to Champion","Invest.for.Self.Us","TRUE"
"13","Champion Membership Invitation Declined","Invitation Declined","Disengage","TRUE"
"14","Cloned Program","","Champion.Others","FALSE"
"15","Commented on Champion Group Space Post","Commented","Invest.for.Self.Us","TRUE"
"16","Commented on Gloofie Space Post","Commented","Invest.for.Self.Us","TRUE"
"17","Commented on Group Space Post","Commented","Invest.for.Self.Us","TRUE"
"18","Commented on Private Space Post","Commented","Invest.for.Self.Us","TRUE"
"19","Commented on Shared Space Post","Commented","Invest.for.Self.Us","TRUE"
"20","Commented on Timeline Post","Commented","Invest.for.Self.Us","TRUE"
"21","Commented on Unactivated Space Post","Commented","Invest.for.Self.Us","TRUE"
"22","Commented on User Group Space Post","Commented","Invest.for.Self.Us","TRUE"
"23","Completed To-Do Item","Used to-do list","Invest.for.Self.Us","TRUE"
"24","Connected to Champion","Connected to Champion","Invest.for.Self.Us","TRUE"
"25","Created a New Dashboard","Created","Invest.for.Self.Us","TRUE"
"26","Created AddToQueueElement Element","","","FALSE"
"27","Created AssessmentMetricPrerequisite Prerequisite","","Champion.Others","FALSE"
"28","Created AssessmentResultPrerequisite Prerequisite","","Champion.Others","FALSE"
"29","Created BlockquoteElement Element","","Champion.Others","FALSE"
"30","Created ChampionConnectElement Element","","Champion.Others","FALSE"
"31","Created CohortConnectElement Element","","Champion.Others","FALSE"
"32","Created ConfigureChampionDashboardElement Element","","Champion.Others","FALSE"
"33","Created ConfigureUserDashboardElement Element","","Champion.Others","FALSE"
"34","Created ContentNode Node","","Champion.Others","FALSE"
"35","Created CreateSpaceElement Element","","Champion.Others","FALSE"
"36","Created DisplayChildrenElement Element","","Champion.Others","FALSE"
"37","Created EparachuteElement Element","","Champion.Others","FALSE"
"38","Created FormElement Element","","Champion.Others","FALSE"
"39","Created FormReferenceElement Element","","","FALSE"
"40","Created Gloofie Space","Created","Invest.for.Self.Us","TRUE"
"41","Created Group Space","Created","Invest.for.Self.Us",""
"42","Created HeaderElement Element","","Champion.Others","FALSE"
"43","Created HorizontalRuleElement Element","","Champion.Others","FALSE"
"44","Created ImageElement Element","","Champion.Others","FALSE"
"45","Created IntervalSinceStartPrerequisite Prerequisite","","Champion.Others","FALSE"
"46","Created JoinGroupSpaceElement Element","","Champion.Others","FALSE"
"47","Created ListElement Element","","Champion.Others","FALSE"
"48","Created MomentElement Element","","Champion.Others","FALSE"
"49","Created Note in Content","Created","Invest.for.Self.Us","TRUE"
"50","Created ParagraphElement Element","","Champion.Others","FALSE"
"51","Created PlatformLinkElement Element","","Champion.Others","FALSE"
"52","Created Private Collection","Created","Champion.Others","TRUE"
"53","Created Private Moment","Created","Champion.Others","TRUE"
"54","Created Private Space","Created","Invest.for.Self.Us","TRUE"
"55","Created Program","","Champion.Others","FALSE"
"56","Created Public Collection","Created","Champion.Others","TRUE"
"57","Created Public Moment","Created","Champion.Others","TRUE"
"58","Created QuestionElement Element","","Champion.Others","FALSE"
"59","Created ReferenceNode Node","","Champion.Others","FALSE"
"60","Created ResultElement Element","","Champion.Others","FALSE"
"61","Created Shared Space","Created","Invest.for.Self.Us","TRUE"
"62","Created ToDoListElement Element","","Champion.Others","FALSE"
"63","Created Unactivated Space","Created","Invest.for.Self.Us","TRUE"
"64","Created UnlockDatePrerequisite Prerequisite","","Champion.Others","FALSE"
"65","Created User Group Space","Created","Invest.for.Self.Us","TRUE"
"66","Created UserImageElement Element","","Champion.Others","FALSE"
"67","Created UserNoteElement Element","","Champion.Others","FALSE"
"68","Created VideoElement Element","","Champion.Others","FALSE"
"69","Created WebLinkElement Element","","Champion.Others","FALSE"
"70","Deleted Element","","Champion.Others","FALSE"
"71","Deleted Node","","Champion.Others","FALSE"
"72","Deleted Prerequisite","","Champion.Others","FALSE"
"73","Deleted Program","","Champion.Others","FALSE"
"74","Deleted To-Do Item","Deleted To-Do Item","Disengage","TRUE"
"75","FamilyLife - Clicked Donate Button","FamilyLife - Clicked Donate Button","Invest.for.Self.Us","TRUE"
"76","FamilyLife - Clicked Resource Link","FamilyLife - Clicked Resource Link","Invest.for.Self.Us","TRUE"
"77","FamilyLife - Listened to Broadcast","FamilyLife - Listened to Broadcast","Invest.for.Self.Us","TRUE"
"78","Followed Champion","Connected to Champion","Invest.for.Self.Us","TRUE"
